id;structure_type;structure_label;problem_text;step_1_label;step_1_detail;step_1_formula;step_2_label;step_2_detail;step_2_formula;step_3_label;step_3_detail;step_3_formula;distractor_1_label;distractor_1_detail;distractor_1_formula;distractor_2_label;distractor_2_detail;distractor_2_formula;distractor_3_label;distractor_3_detail;distractor_3_formula;subq_1;subq_2;subq_3;subq_distractor_1;subq_distractor_2;error_step_index;error_wrong_label;error_wrong_detail;error_wrong_formula;flow_1_type;flow_1_text;flow_2_type;flow_2_text;flow_3_type;flow_3_text;flow_4_type;flow_4_text;flow_5_type;flow_5_text;flow_6_type;flow_6_text
1;A;Marktvorm herkennen → evenwicht berekenen;Gegeven: 500 tuinders verkopen identieke tomaten aan de veiling. Prijs = €2 per kg. Individueel MK = q + 0,5. Bereken de productie per tuinder.;Marktvorm herkennen;Vele aanbieders, homogeen product → volkomen concurrentie → prijsnemer;;MK = p;q + 0,5 = 2 → q = 1,5 kg per tuinder;q=1{,}5;Totaal marktaanbod;Q_markt = 500 × 1,5 = 750 kg;Q_{markt}=750;MK = 0 voor winstmax;"MK = 0 geldt voor TR-max; winstmax in VC is MK = p";;Tomaten = monopolie (één veiling);"De veiling is de koper, niet de aanbieder; aanbodkant heeft veel tuinders → VC";;Marktaanbod = 1 × MK;Marktaanbod = n × individueel aanbod;;Welke marktvorm past bij dit voorbeeld?;Hoe bepaal je q per tuinder?;Hoe bereken je het marktaanbod?;Wat is de omzet per tuinder?;Wat is de winst bij MK=p?;2;q = 2/0,5 = 4 (foutieve berekening);"q+0,5=2 → q=1,5; niet q=p/MK-constante";q=4;given;500 tuinders, homogeen product, p=2, MK=q+0,5;step;VC → MK=p: q+0,5=2 → q=1,5;step;Q_markt = 500 × 1,5 = 750;step;Controleer: elke tuinder is prijsnemer;result;"q=1,5 per tuinder; Q_markt=750";;
2;A;Marktvorm herkennen → evenwicht berekenen;Energiebedrijf A is de enige aanbieder van stroom in regio X. Vraag: p = 100 - 2Q, MK = 20. Bepaal de monopolieprijs.;Marktvorm herkennen;Enige aanbieder → monopolie → MO = MK;;MO = MK;MO = 100 - 4Q = 20 → Q* = 20, p* = 60;Q^*=20, p^*=60;Vergelijk met VC;"VC: p=MK=20, Q_VC=40; monopolie: p=60 > VC; DWL = ½×20×40 = 400";DWL=400;Winstmax via p = MK = 20;"p=MK is VC-regel; monopolist gebruikt MO=MK";;Monopolist stelt prijs op p = 100;"p = 100 is de maximale prijs (Q=0); winstmax is MO=MK";;MO = 100 - 2Q;MO = dTR/dQ = 100 - 4Q (twee keer zo steil als GO);;Welke marktvorm is dit?;Hoe bereken je het monopolie-evenwicht?;Hoe groot is het welvaartsverlies?;Wat is de Lerner-index?;Hoe zou regulering werken?;2;MO = 100 - 2Q → Q* = 40;"MO = 100 - 4Q (afgeleid van TR=100Q-2Q²); Q*=20";Q^*=40;given;"Monopolist: p=100-2Q; MK=20";step;"MO=100-4Q; MO=MK: Q*=20";step;"p*=60; DWL=½×20×40=400";step;"Vergelijk: VC p=20, Q=40; mono p=60, Q=20";result;Monopolie: p*=60, DWL=400;;
3;A;Marktvorm herkennen → evenwicht berekenen;Drie grote bierbrouwerijen in Nederland (Heineken, AB InBev, Grolsch) hebben samen ~80% marktaandeel. Welke marktvorm en wat zijn de gevolgen?;Marktvorm herkennen;Weinig grote aanbieders, gedifferentieerd product (merken), hoge concentratie → heterogeen oligopolie;;Gevolgen voor prijs;Oligopolie: p > MK, strategische interdependentie, mogelijke tacite collusie;p > MK;Beleidsimplicaties;"ACM bewaakt kartelafspraken; oligopolie-winst kan lang voortduren door toetredingsdrempels";;Bier = volkomen concurrentie;"VC vereist veel kleine aanbieders + homogeen product; bier is heterogeen oligopolie";;Bier = monopolistische concurrentie;"MC heeft veel aanbieders; top-3 heeft 80% → oligopolie";;Drie bedrijven = duopolie;"Duopolie = precies 2 bedrijven; drie = oligopolie";;Welke marktvorm is de biersector?;Wat zijn de gevolgen voor de prijs?;Hoe treedt de overheid op?;Wat is het HHI van de Nederlandse biermarkt?;Hoe beïnvloedt Heineken zijn marktpositie?;1;Bier = monopolistische concurrentie (merkverschillen);"Merkverschillen zijn aanwezig bij zowel MC als oligopolie; sleutelcriterium is concentratie (top-3 = 80%)";;given;3 brouwerijen: ~80% marktaandeel, merken;step;Weinig grote spelers + hoge concentratie → oligopolie;step;Heterogeen (merken) → heterogeen oligopolie;step;Gevolgen: p > MK, interdependentie, ACM-toezicht;result;"Heterogeen oligopolie; p>MK, strategische interactie";;
4;B;Marktstructuurwijziging → nieuw evenwicht → welvaartseffect;Twee duopolisten fuseren tot één monopolist. Voor fusie: Cournot, q1=q2=30, p=30 (markt p=90-Q, MK=0). Na fusie: monopolist. Bereken het welvaartseffect.;Na fusie: monopolist;MO=MK: 90-2Q=0 → Q_m=45, p_m=45;Q_m=45, p_m=45;Vergelijk met voor fusie;"Voor: Q=60, p=30; Na: Q=45, p=45 → hogere prijs, lagere output";;Welvaartseffect;"TS voor: groot; TS na: kleiner door DWL; DWL_fusie = verschil in TS";;Fusie verhoogt totale output;Fusie: minder concurrenten → lagere output (45 < 60);;Monopolieprijs = Cournot-prijs;Monopolie: p=45 > Cournot: p=30;;Fusie leidt altijd tot hogere welvaart;Fusie tot monopolie leidt doorgaans tot DWL;;Wat is het monopolie-evenwicht na fusie?;Hoe vergelijkt dit met Cournot?;Wat is het welvaartseffect?;Wanneer keurt de ACM een fusie goed?;Wat zijn schaalvoordelen van de fusie?;1;Na fusie: Q_m=90 (VC-uitkomst);Monopolist maximaliseert winst: Q_m=45, niet Q=90;Q_m=90;given;"Cournot: q1=q2=30, p=30; fusie → monopolist";step;Monopolist: MO=MK=0 → Q_m=45, p_m=45;step;"Voor: Q=60, p=30; na: Q=45, p=45";step;DWL na fusie: TS gedaald;result;Fusie: p hoger, Q lager, welvaartsverlies;;
5;B;Marktstructuurwijziging → nieuw evenwicht → welvaartseffect;Een nieuwe concurrent treedt toe tot een monopolistische markt. Leg het LT-aanpassingsproces uit.;Toetreding nieuwe speler;Nieuwe concurrent → meer substituten → vraag per bestaand bedrijf daalt;;Prijsdaling;Meer concurrentie → prijs daalt richting GK → winsten nemen af;;Nieuw evenwicht;"Afhankelijk van marktvorm: MC → LT nul-winst; oligopolie → neuer Cournot-evenwicht";;Toetreding verhoogt de prijs;Meer aanbieders → meer concurrentie → prijs daalt;;Bestaande bedrijven profiteren van toetreding;Toetreding vermindert marktaandeel en winst van bestaande bedrijven;;Toetreding alleen mogelijk bij VC;"Toetreding kan in elke markt; in VC en MC: vrij; oligopolie/monopolie: drempels";;Wat is het directe effect van toetreding?;Hoe verandert de prijs?;Wat is het LT-evenwicht bij MC vs. oligopolie?;Welke rol spelen toetredingsdrempels?;Hoe reageert de incumbant op toetreding?;2;Toetreding verhoogt de prijs door meer vraag;"Toetreding verhoogt het AANBOD; dit verlaagt de prijs";;given;Monopolist: positieve winst → nieuwe toetredster;step;Meer substituten → vraag per bedrijf daalt;step;Meer concurrentie → prijs daalt;step;"LT: MC nul-winst; oligopolie nieuw Cournot";result;Toetreding: lagere prijs, meer variëteit, minder winst;;
6;B;Marktstructuurwijziging → nieuw evenwicht → welvaartseffect;Een belasting van €5 per eenheid wordt opgelegd aan een monopolist (MK=10, vraag p=80-Q). Bereken het nieuwe evenwicht.;Nieuwe MK na belasting;MK_nieuw = 10 + 5 = 15;MK_{nieuw}=15;Nieuw monopolie-evenwicht;"MO=80-2Q=15 → Q_nieuw=32,5; p_nieuw=47,5";Q_{nieuw}=32{,}5, p_{nieuw}=47{,}5;Vergelijk met oud evenwicht;"Oud: MO=MK=10 → Q=35, p=45; belasting: Q daalt, p stijgt maar niet met volle belasting";;Prijs stijgt met €5 (volledige doorberekening);Bij dalende MO-lijn wordt belasting niet volledig doorberekend (deels door producent gedragen);;Monopolist absorbeert volledige belasting;"Monopolist past prijs aan; deel belasting naar consument (deels doorberekend)";;Q blijft onveranderd;Hogere MK leidt tot lagere Q bij winstmaximalisatie;;Hoe beïnvloedt belasting de MK?;Hoe bereken je het nieuwe evenwicht?;Hoeveel van de belasting wordt doorberekend?;Wat is de DWL na belasting?;Hoe verschilt doorberekening bij VC vs. monopolie?;3;Prijs stijgt met €5 naar p=50;"Prijs stijgt van 45 naar 47,5 (niet 50); gedeeltelijke doorberekening";p_{nieuw}=50;given;"Monopolist: p=80-Q, MK=10; belasting t=5";step;MK_nieuw = 15;step;"MO=80-2Q=15 → Q=32,5; p=47,5";step;"Oud: Q=35, p=45; Δp=2,5 < t=5";result;"Belasting deels doorberekend: p stijgt met 2,5; Q daalt";;
7;C;Doelmatigheid toepassen: marktvorm → doelmatigheidsbeoordeling;Beoordeel de doelmatigheid van de Nederlandse telecommarkt (KPN, T-Mobile, Vodafone + kleine spelers).;Marktvorm bepalen;3-4 grote spelers, strategische interdependentie, hoge toetredingsdrempels (spectrum, netwerk) → heterogeen oligopolie;;Allocatieve doelmatigheid;"p > MK → allocatief ondoelmatig; ACM bewaakt abonnementsprijzen";;Dynamische doelmatigheid;Hoge winsten → investeringen in 5G → dynamisch mogelijk doelmatig;;Telecom = volkomen concurrentie;Hoge toetredingsdrempels (spectrumlicenties, netwerk) → geen VC;;Telecom = monopolie;Meerdere grote spelers → oligopolie, niet monopolie;;Allocatief doelmatig want concurrentie;Oligopolie: p > MK → allocatief ondoelmatig;;Welke marktvorm heeft telecom?;Hoe scoort telecom op allocatieve doelmatigheid?;Wat is het dynamische argument voor oligopolie in telecom?;Hoe beïnvloedt spectrumveiling de markt?;Wat is de rol van MVNO's (virtuele operators)?;1;Telecom = monopolistische concurrentie;"MC heeft veel kleine aanbieders; telecom: paar grote spelers + hoge drempels → oligopolie";;given;KPN, T-Mobile, Vodafone + hoge drempels;step;Weinig grote spelers + drempels → oligopolie;step;Allocatief: p>MK → ondoelmatig;step;Dynamisch: 5G-investeringen → mogelijk doelmatig;result;"Telecom: heterogeen oligopolie; allocatief zwak, dynamisch sterk";;
8;C;Doelmatigheid toepassen: marktvorm → doelmatigheidsbeoordeling;Een gemeente overweegt de busconcessie aan één bedrijf te geven (regionaal monopolie). Analyseer de doelmatigheidsimplicaties.;Marktvorm;Één concessie → regionaal monopolie op openbaar vervoer;;Allocatieve en productieve doelmatigheid;Monopolie: p > MK, niet op GK_min → allocatief en productief ondoelmatig;;Reguleringsopties;Concessiecontract met prijsplafond, kwaliteitseisen en subsidie → marktfalen corrigeren;;Regionaal monopolie is altijd doelmatig;Monopolie zonder regulering leidt tot DWL en te hoge prijzen;;Vrije markttoetreding beter dan concessie;Bij busvervoer: schaalvoordelen en netwerk → concessiesysteem efficiënter dan wildgroei;;Concessie elimineert alle inefficiënties;Concessie beperkt maar elimineert niet alle inefficiënties;;Wat is de marktvorm bij één concessie?;Wat zijn de doelmatigheidsimplicaties?;Hoe kan de gemeente de doelmatigheid verbeteren?;Wat is een natural monopoly?;Hoe werkt aanbesteding (tender)?;2;Monopolie is allocatief doelmatig;"Monopolie: p > MK → allocatief ondoelmatig; regulering is nodig";;given;Busconcessie aan één bedrijf = regionaal monopolie;step;Monopolie: p>MK → DWL, niet op GK_min;step;Oplossing: concessiecontract met prijsplafond + kwaliteitseisen;step;Aanbesteding (tender) bevordert concurrentie om de markt;result;Regionaal monopolie: regulering nodig voor doelmatigheid;;
9;C;Doelmatigheid toepassen: marktvorm → doelmatigheidsbeoordeling;Farmaceutisch bedrijf heeft patent op geneesmiddel X. Analyseer de doelmatigheid tijdens en na afloop van het patent.;Tijdens patent;Patent = tijdelijk monopolie: p >> MK, DWL, beperkte toegankelijkheid;;Na afloop patent;Generieke concurrenten → prijs daalt richting MK → meer toegankelijkheid;;Dynamische afweging;"Zonder patent: geen prikkel voor R&D; met patent: innovatie maar tijdelijke DWL";;Patent leidt altijd tot optimale uitkomst;"Patent is een tweede-beste oplossing; ideaal is innovatie zonder DWL";;Na patent: prijs blijft hoog;Na patent: generieke concurrentie → prijs daalt sterk;;Patent-DWL irrelevant want innovatie;"DWL is een echte kost; het is een afweging, niet irrelevant";;Wat is de marktvorm tijdens patent?;Wat verandert na patentafloop?;Hoe weeg je DWL af tegen innovatie?;Wat is de rol van de overheid bij medicijnprijzen?;Hoe werkt bioequivalentie bij generics?;2;Na patent: prijs blijft hoog door merkloyaliteit;"Generieke concurrentie drijft prijs naar MK; merkloyaliteit is een factor maar prijs daalt sterk";;given;Farmaceutisch patent: tijdelijk monopolie op geneesmiddel;step;Tijdens patent: p >> MK, DWL, beperkte toegang;step;Na patent: generics → p daalt richting MK;step;Dynamisch: patent stimuleert R&D (innovatie);result;Patent: afweging tussen DWL en innovatieprikkel;;
10;D;Integratieve toepassing: analyse stap voor stap;Analyseer de markt voor smartphones in Nederland op marktvorm, prijs, en doelmatigheid.;Marktvorm bepalen;Paar grote spelers (Samsung, Apple + anderen), ~70% bij top-2, gedifferentieerde producten, hoge R&D-drempels → heterogeen oligopolie;;Prijsanalyse;"p >> MK (hoge marges); enige prijsconcurrentie in mid-segment; merkloyaliteit houdt premiums in stand";;Doelmatigheid;"Allocatief ondoelmatig (p>MK); dynamisch sterk (hoge R&D-investeringen in innovatie)";;Smartphones = monopolistische concurrentie;"MC heeft veel kleine aanbieders; smartphones: top-2 heeft ~70% → oligopolie";;Smartphones = volkomen concurrentie;"VC: homogeen, veel aanbieders, geen marktmacht; smartphones zijn het tegenovergestelde";;Smartphones zijn allocatief doelmatig;Hoge marges (p>>MK) → allocatief ondoelmatig;;Welke marktvorm heeft de smartphonemarkt?;Hoe is de prijsvorming?;Hoe scoort de markt op doelmatigheid?;Wat is het HHI van de smartphonemarkt?;Hoe beïnvloedt het ecosysteem (iOS/Android) de marktmacht?;1;Smartphones = monopolistische concurrentie;"Top-2 heeft ~70% marktaandeel; MC heeft veel kleine spelers → oligopolie";;given;Samsung + Apple ~70%, gedifferentieerd, hoge R&D;step;Heterogeen oligopolie (concentratie + differentiatie);step;p >> MK → allocatief ondoelmatig;step;Hoge R&D → dynamisch doelmatig;result;Smartphones: heterogeen oligopolie, allocatief zwak, dynamisch sterk;;
