id;structure_type;structure_label;problem_text;step_1_label;step_1_detail;step_1_formula;step_2_label;step_2_detail;step_2_formula;step_3_label;step_3_detail;step_3_formula;distractor_1_label;distractor_1_detail;distractor_1_formula;distractor_2_label;distractor_2_detail;distractor_2_formula;distractor_3_label;distractor_3_detail;distractor_3_formula;subq_1;subq_2;subq_3;subq_distractor_1;subq_distractor_2;error_step_index;error_wrong_label;error_wrong_detail;error_wrong_formula;flow_1_type;flow_1_text;flow_2_type;flow_2_text;flow_3_type;flow_3_text;flow_4_type;flow_4_text;flow_5_type;flow_5_text;flow_6_type;flow_6_text
1;A;Marktfalen herkennen → type bepalen → overheidsrol;Fabrieken langs de Rijn lozen afvalwater dat de waterkwaliteit verslechtert. Welk type marktfalen is dit en wat kan de overheid doen?;Type marktfalen herkennen;Productie veroorzaakt schade voor derden zonder compensatie → negatief extern effect;;Gevolg voor marktuitkomst;Maatschappelijke kosten > private kosten → markt produceert te veel;;Overheidsinterventie;Pigouviaanse belasting, regulering (lozingsnormen), emissiehandel;;Positief extern effect;Lozing is schade voor derden → negatief extern effect, niet positief;;Markt produceert te weinig;Bij negatief extern effect produceert de markt te VEEL (MPC < MSC);;Overheid hoeft niet in te grijpen;"Zonder ingrijpen: te veel vervuiling; extern effect is klassiek marktfalen";;Welk type marktfalen is dit?;Wat is het gevolg voor de marktuitkomst?;Welke beleidsinstrumenten kan de overheid inzetten?;Wat is het Coase-theorema?;Hoe werkt emissiehandel?;2;Markt produceert te weinig bij negatief extern effect;"Bij negatief extern effect: MSC > MPC → markt produceert te VEEL; te weinig geldt bij positief extern effect";;cause;Fabrieken lozen afvalwater in de Rijn;reasoning;Schade voor derden zonder compensatie = negatief extern effect;reasoning;Maatschappelijke kosten > private kosten → overproductie;reasoning;Markt faalt: externe kosten niet in prijs verwerkt;effect;Overheid grijpt in via belasting, regulering of emissiehandel;;
2;A;Marktfalen herkennen → type bepalen → overheidsrol;Een buurman plant een prachtige tuin die de hele straat verfraait. Welk type extern effect is dit?;Type extern effect;Voordeel voor derden zonder vergoeding → positief extern effect;;Gevolg voor marktuitkomst;Maatschappelijk baten > private baten → markt produceert te weinig van dit goed;;Mogelijke interventie;Subsidie op tuinaanleg, of belastingvoordeel → prikkel om meer te produceren;;Negatief extern effect;De tuin levert voordeel op voor buren → positief, niet negatief;;Markt produceert te veel tuinen;Bij positief extern effect: te WEINIG productie (baten niet vergoed);;Geen marktfalen want vrijwillige keuze;Positieve externaliteit = marktfalen ongeacht vrijwilligheid (maatschappelijk baten niet in prijs);;Welk type extern effect is dit?;Wat is het gevolg voor de marktuitkomst?;Hoe kan de overheid bijsturen?;Wat is het free rider-probleem hier?;Hoe verschilt dit van een collectief goed?;1;Negatief extern effect (overlast);"De tuin levert voordeel (verfraaiing) → positief extern effect; negatief zou overlast zijn";;cause;Buurman legt prachtige tuin aan;reasoning;Voordeel voor buren zonder vergoeding = positief extern effect;reasoning;Maatschappelijk baten > private baten → te weinig productie;reasoning;Subsidie kan prikkel geven om meer te produceren;effect;Overheid kan subsidie inzetten om optimale hoeveelheid te bereiken;;
3;A;Marktfalen herkennen → type bepalen → overheidsrol;In een kleine stad is er maar één drinkwaterbedrijf (natuurlijk monopolie). Wat zijn de risicos en hoe kan de overheid ingrijpen?;Type marktfalen;Natuurlijk monopolie: schaalvoordelen zo groot dat één bedrijf efficiënter is dan meerdere;;Risicos;Zonder regulering: te hoge prijs, te lage kwaliteit, geen prikkel voor efficiëntie;;Overheidsinterventie;Prijsregulering (plafondprijs op p=GK), kwaliteitseisen, concessiestelsel;;Markt lost dit zelf op via toetreding;Bij natuurlijk monopolie: toetreding onrendabel door schaalvoordelen → overheidsrol nodig;;Meerdere bedrijven efficiënter;Bij natuurlijk monopolie: één bedrijf goedkoper dan meerdere (subadditiviteit);;Drinkwater = geen marktfalen;Natuurlijk monopolie is een vorm van marktfalen → regulering nodig;;Wat is een natuurlijk monopolie?;Wat zijn de risicos zonder regulering?;Welke instrumenten heeft de overheid?;Hoe werkt waterprivatisering?;Wat is het verschil met een wettelijk monopolie?;2;Toetreding lost het probleem op;"Bij natuurlijk monopolie: toetreding is onrendabel door schaalvoordelen; overheid moet reguleren";;cause;Drinkwaterbedrijf is enige aanbieder (schaalvoordelen);reasoning;Natuurlijk monopolie: één bedrijf efficiënter dan meerdere;reasoning;Risico: te hoge prijs, te lage kwaliteit;reasoning;Toetreding is onrendabel → markt lost het niet op;effect;Overheid reguleert: plafondprijs, kwaliteitseisen, concessie;;
4;B;Overheidsfalen: interventie verslechtert uitkomst;De overheid stelt een minimumprijs voor melk in boven het marktevenwicht. Wat zijn de gevolgen?;Effect minimumprijs;Minimumprijs boven evenwicht → aanbodoverschot (meer aanbod dan vraag);;Welvaartseffect;"DWL door minder transacties; overheid moet overschot opkopen of vernietigen";;Overheidsfalen;Interventie verslechtert marktuitkomst: hogere prijs voor consumenten, kosten voor opkoop, voedselverspilling;;Minimumprijs verlaagt de prijs;Minimumprijs is een bodemprijs: verHOOGT de prijs voor consumenten;;Geen overschot bij minimumprijs;Prijs boven evenwicht: Qa > Qv → overschot;;Boeren produceren minder bij hogere prijs;Hogere prijs = meer productie (aanbodcurve stijgend);;Wat is het effect van een minimumprijs boven evenwicht?;Wat is het welvaartseffect?;Waarom is dit overheidsfalen?;Hoe verschilt dit van een maximumprijs?;Wat is het EU landbouwbeleid?;1;Minimumprijs onder evenwicht heeft effect;"Minimumprijs onder evenwicht is niet-bindend (markt is al hoger); alleen boven evenwicht heeft effect";;cause;Overheid stelt minimumprijs melk boven evenwichtsprijs;reasoning;Bij hogere prijs: Qa stijgt, Qv daalt → overschot;reasoning;DWL: minder transacties, overheid koopt overschot op;reasoning;Kosten: belastinggeld, voedselverspilling, hogere consumentenprijzen;effect;Overheidsfalen: interventie verslechtert marktuitkomst;;
5;B;Overheidsfalen: interventie verslechtert uitkomst;De overheid subsidieert elektrische auto's. Welke vormen van overheidsfalen kunnen optreden?;Mogelijk overheidsfalen 1;Verkeerde doelgroep: subsidie gaat naar rijke huishoudens die toch al een EV zouden kopen;;Mogelijk overheidsfalen 2;Lobbying en rent-seeking: fabrikanten lobbyen voor hogere subsidie → inefficiënt gebruik belastinggeld;;Mogelijk overheidsfalen 3;Informatieprobleem: overheid weet niet precies welke subsidie-hoogte optimaal is → over- of ondersubsidiëring;;EV-subsidie heeft nooit overheidsfalen;Elke interventie kan leiden tot overheidsfalen als de uitvoering gebrekkig is;;Subsidie is altijd efficiënter dan belasting;"Subsidie en belasting hebben elk voor- en nadelen; geen is altijd beter";;Informatieproblemen bestaan niet bij overheid;Overheid heeft beperkte informatie over individuele preferenties en kosten;;Welke doelgroep bereikt de subsidie?;Wat is rent-seeking?;Wat is het informatieprobleem?;Wat is moral hazard bij subsidie?;Hoe beïnvloedt de subsidie de CO2-uitstoot?;1;Subsidie bereikt altijd de juiste doelgroep;Subsidie kan bij verkeerde doelgroep terechtkomen (deadweight of subsidy);;cause;Overheid subsidieert elektrische auto's;reasoning;Risico 1: subsidie naar rijke huishoudens die al EV kopen;reasoning;Risico 2: lobbying en rent-seeking door fabrikanten;reasoning;Risico 3: overheid weet optimale subsidie-hoogte niet;effect;Mogelijk overheidsfalen: verkeerde doelgroep, lobbying, informatiefout;;
6;B;Overheidsfalen: interventie verslechtert uitkomst;Noem drie oorzaken van overheidsfalen en geef bij elke een voorbeeld.;Informatiegebrek;Overheid kent niet alle kosten en baten → suboptimale beleidskeuze (bijv. verkeerde belastinghoogte);;Rent-seeking en lobbying;Belangengroepen beïnvloeden beleid in hun voordeel → inefficiënte herverdeling (bijv. landbouwsubsidies);;Bureaucratie en vertraging;Trage besluitvorming en uitvoeringskosten → beleid komt te laat of kost te veel (bijv. infrastructuurprojecten);;Overheid heeft perfecte informatie;"Overheid heeft beperkte informatie; dit is een hoofdoorzaak van overheidsfalen";;Lobbying is altijd positief;Lobbying kan leiden tot beleid dat specifieke groepen bevoordeelt ten koste van algemeen belang;;Overheidsfalen bestaat niet;Overheidsfalen is een erkend concept in de welvaartseconomie;;Wat is informatiegebrek als oorzaak?;Wat is rent-seeking?;Hoe leidt bureaucratie tot overheidsfalen?;Wat is de public choice theorie?;Hoe voorkom je overheidsfalen?;3;Bureaucratie is altijd efficiënt;Bureaucratie kan leiden tot trage besluitvorming en hoge uitvoeringskosten → overheidsfalen;;cause;Overheid grijpt in op markten;reasoning;Risico 1: informatiegebrek → suboptimaal beleid;reasoning;Risico 2: rent-seeking → inefficiënte herverdeling;reasoning;Risico 3: bureaucratie → trage en dure uitvoering;effect;Overheidsfalen: uitkomst kan slechter zijn dan marktfalen;;
7;C;Herverdeling: ongelijkheid → belasting/uitkeringen → Lorenz;De inkomensongelijkheid in Nederland is toegenomen. Welke instrumenten heeft de overheid voor herverdeling?;Belastingen;Progressieve inkomstenbelasting: hogere inkomens betalen hoger percentage;;Uitkeringen en toeslagen;Sociale zekerheid: bijstand, zorgtoeslag, huurtoeslag → inkomen lage groepen aanvullen;;Publieke voorzieningen;Onderwijs, gezondheidszorg, infrastructuur → gelijke toegang ongeacht inkomen;;Herverdeling alleen via belastingen;Herverdeling omvat ook uitkeringen, toeslagen en publieke voorzieningen;;Vlaktaks is het meest herverdelend;Progressieve belasting herverdeelt meer dan vlaktaks (proportioneel);;Publieke voorzieningen zijn geen herverdeling;Publieke diensten voor iedereen herverdeelt van hoog naar laag inkomen (in natura);;Hoe werkt progressieve belasting herverdelend?;Welke uitkeringen ondersteunen lage inkomens?;Hoe dragen publieke voorzieningen bij aan herverdeling?;Wat is de Gini-coëfficiënt?;Wat is de Lorenz-curve?;1;Vlaktaks herverdeelt het meest;"Vlaktaks (proportioneel) herverdeelt minder dan progressief; hogere marginale tarieven voor hoge inkomens herverdeelt meer";;cause;Inkomensongelijkheid is toegenomen;reasoning;Overheid kan herverdelen via belastingen (progressief);reasoning;Uitkeringen en toeslagen vullen lage inkomens aan;reasoning;Publieke voorzieningen geven gelijke toegang;effect;Herverdeling via belasting + uitkeringen + publieke diensten;;
8;C;Herverdeling: ongelijkheid → belasting/uitkeringen → Lorenz;Leg uit hoe de Lorenz-curve en de Gini-coëfficiënt inkomensongelijkheid meten.;Lorenz-curve;"Grafiek: cumulatief % bevolking (x-as) vs. cumulatief % inkomen (y-as); diagonaal = perfecte gelijkheid";;Gini-coëfficiënt;"Gini = oppervlakte tussen diagonaal en Lorenz / totale oppervlakte onder diagonaal; 0 = gelijk, 1 = maximaal ongelijk";;Interpretatie voor beleid;Hogere Gini → meer ongelijkheid → mogelijke aanleiding voor herverdelingsbeleid;;Lorenz-curve boven de diagonaal = ongelijkheid;"Lorenz-curve ligt ONDER de diagonaal bij ongelijkheid; op de diagonaal = gelijk";;Gini = 1 is perfecte gelijkheid;"Gini = 0 is perfecte gelijkheid; Gini = 1 is maximale ongelijkheid";;Gini meet alleen vermogensongelijkheid;"Gini kan voor inkomen EN vermogen worden berekend; het is een algemene maatstaf";;Wat toont de Lorenz-curve?;Hoe bereken je de Gini-coëfficiënt?;Wat betekent een hogere Gini voor beleid?;Hoe verschilt de Gini van Nederland met de VS?;Wat is de Robin Hood-index?;2;Gini = 1 is perfecte gelijkheid;"Gini = 0 is perfecte gelijkheid; Gini = 1 is maximale ongelijkheid (alles bij 1 persoon)";;cause;Behoefte om inkomensongelijkheid te meten;reasoning;Lorenz-curve: cumulatief inkomen vs. cumulatief bevolking;reasoning;"Gini = oppervlakte A / (A+B); 0=gelijk, 1=ongelijk";reasoning;Hogere Gini → meer ongelijkheid → beleidsreactie;effect;Lorenz + Gini als beleidsinstrument voor herverdeling;;
9;C;Herverdeling: ongelijkheid → belasting/uitkeringen → Lorenz;Wat is de afweging tussen efficiëntie en gelijkheid (equity-efficiency trade-off)?;Efficiëntie;Vrije markt zonder ingrijpen kan allocatief doelmatig zijn maar grote ongelijkheid veroorzaken;;Gelijkheid via herverdeling;Herverdeling (belasting/uitkeringen) vermindert ongelijkheid maar creëert prikkelverstoring (DWL);;Afweging;"Meer gelijkheid = meer verstoringen; minder gelijkheid = meer efficiëntie maar sociaal onwenselijk";;Herverdeling verhoogt altijd efficiëntie;Herverdeling vermindert ongelijkheid maar kan efficiëntie verlagen (prikkelverstoring);;Geen trade-off: gelijkheid = efficiëntie;Er is een fundamentele spanning: herverdeling verstoort marktprikkels;;Maximale gelijkheid is altijd het beste;Maximale gelijkheid kan werkprikkels vernietigen → lagere totale welvaart;;Waarom kan de vrije markt ongelijkheid veroorzaken?;Hoe verstoort herverdeling de markt?;Wat is de kern van de trade-off?;Wat is de optimale Gini?;Hoe verschilt dit in VS vs. Scandinavië?;2;Herverdeling creëert geen verstoringen;Belastingen en uitkeringen veranderen prikkels (arbeid, sparen) → DWL → efficiency loss;;cause;Vrije markt: efficiënt maar mogelijk grote ongelijkheid;reasoning;Herverdeling via belasting/uitkeringen vermindert ongelijkheid;reasoning;Maar herverdeling verstoort marktprikkels (DWL);reasoning;Meer gelijkheid ↔ minder efficiëntie (trade-off);effect;Beleid zoekt optimale balans tussen efficiëntie en gelijkheid;;
10;D;Drie overheidsfuncties: allocatie, herverdeling, stabilisatie;Noem de drie economische functies van de overheid en geef bij elke een voorbeeld.;Allocatiefunctie;Corrigeren van marktfalen: externe effecten, collectieve goederen, monopolieregulering;;Herverdelingsfunctie;Inkomens- en vermogensherverdeling: progressieve belasting, uitkeringen, publieke voorzieningen;;Stabilisatiefunctie;Macro-economische stabiliteit: conjunctuurbeleid, inflatiebestrijding, werkgelegenheid;;Overheid heeft maar één functie;Overheid heeft drie functies: allocatie, herverdeling, stabilisatie;;Stabilisatie = prijscontrole op individuele markten;"Stabilisatie is macro-beleid (conjunctuur); prijscontrole is allocatiefunctie";;Herverdeling = marktfalen corrigeren;"Marktfalen corrigeren is de allocatiefunctie; herverdeling gaat over inkomensongelijkheid";;Wat is de allocatiefunctie?;Wat is de herverdelingsfunctie?;Wat is de stabilisatiefunctie?;Wat is het verschil tussen micro- en macro-beleid?;Wie voert stabilisatiebeleid uit?;3;Stabilisatie = prijsregulering op één markt;"Stabilisatie is macro: conjunctuurbeleid, inflatiebestrijding; niet prijsregulering van individuele markten";;cause;Overheid heeft drie economische functies;reasoning;Allocatie: marktfalen corrigeren (externe effecten, collectieve goederen);reasoning;Herverdeling: inkomensongelijkheid aanpakken;reasoning;Stabilisatie: macro-economische stabiliteit waarborgen;effect;Drie functies: allocatie + herverdeling + stabilisatie;;
