id;structure_type;structure_label;problem_text;step_1_label;step_1_detail;step_1_formula;step_2_label;step_2_detail;step_2_formula;step_3_label;step_3_detail;step_3_formula;distractor_1_label;distractor_1_detail;distractor_1_formula;distractor_2_label;distractor_2_detail;distractor_2_formula;distractor_3_label;distractor_3_detail;distractor_3_formula;subq_1;subq_2;subq_3;subq_distractor_1;subq_distractor_2;error_step_index;error_wrong_label;error_wrong_detail;error_wrong_formula;flow_1_type;flow_1_text;flow_2_type;flow_2_text;flow_3_type;flow_3_text;flow_4_type;flow_4_text;flow_5_type;flow_5_text;flow_6_type;flow_6_text
1;A;"Casus analyseren → Marktvorm classificeren → Consequenties afleiden";"Uber start een taxidienst in een stad waar al honderden zelfstandige taxichauffeurs rijden. Elke chauffeur bepaalt zijn eigen tarief. Door de app van Uber worden prijzen transparanter. Welke marktvorm ontstaat er en wat betekent dit?";Analyseer de casus;"Er zijn zeer veel aanbieders (honderden chauffeurs + Uber), transparante prijzen door de app, en de dienst (taxirit) is grotendeels homogeen.";;Classificeer de marktvorm;"Veel aanbieders + grotendeels homogeen product + prijstransparantie = de markt beweegt richting volkomen concurrentie.";;Leid de consequenties af;"Door de toegenomen transparantie daalt de prijs richting de marginale kosten. Chauffeurs met hogere kosten vallen af. De consument profiteert van lagere tarieven.";;Bereken het marktaandeel van Uber;"Deel het aantal Uber-ritten door het totale aantal taxiritten in de stad.";;Bepaal de toetredingsdrempels voor chauffeurs;"Analyseer wat een nieuwe chauffeur nodig heeft om te starten.";;Voorspel de winstmarge per rit;"Bereken hoeveel winst een chauffeur per rit overhoudt.";;Hoeveel aanbieders zijn er en hoe transparant is de prijs?;Welke marktvorm ontstaat bij veel aanbieders en prijstransparantie?;Wat betekent dit voor de prijs en de positie van chauffeurs?;Hoeveel ritten maakt Uber per dag?;Wat verdient een Uber-chauffeur per uur?;2;"Classificeer als monopolie van Uber";"Uber domineert de markt via zijn app en wordt daardoor monopolist in de taxibranche.";;cause;"Honderden chauffeurs + Uber in dezelfde stad";reasoning;"Transparante prijzen via app + grotendeels homogene dienst";reasoning;"De markt beweegt richting volkomen concurrentie";effect;"Prijzen dalen richting marginale kosten";effect;"Chauffeurs met hogere kosten vallen af, consument profiteert";;
2;A;"Casus analyseren → Marktvorm classificeren → Consequenties afleiden";"Spotify, Apple Music en YouTube Music domineren de markt voor muziekstreaming. Ze bieden vergelijkbare diensten aan maar proberen zich te onderscheiden met exclusieve content en interface. Welke marktvorm is dit?";Analyseer de casus;"Er zijn enkele grote aanbieders die vergelijkbare maar niet identieke diensten aanbieden. Elk platform probeert zich te onderscheiden via exclusieve content.";;Classificeer de marktvorm;"Enkele grote aanbieders + lichte productdifferentiatie + hoge toetredingsdrempels (licentiekosten) + onderlinge afhankelijkheid = oligopolie.";;Leid de consequenties af;"De platforms houden rekening met elkaars strategieën. Ze concurreren vooral op content en features, niet op prijs. De consument heeft beperkte keuze maar wel innovatie.";;Bereken de HHI-index;"Kwadrateer de marktaandelen van alle streamingdiensten en tel ze op.";;Analyseer de prijselasticiteit;"Bepaal hoe gevoelig abonnees zijn voor prijsveranderingen.";;Bepaal de substitueerbaarheid met radio;"Onderzoek of traditionele radio een substituut is voor streaming.";;Hoeveel grote aanbieders domineren de markt?;Welke marktvorm kenmerkt zich door enkele grote spelers met onderlinge afhankelijkheid?;Hoe concurreren de platforms met elkaar?;Hoeveel abonnees heeft Spotify wereldwijd?;Wat kost een Spotify-abonnement per maand?;3;"Afleiden: hevige prijsconcurrentie";"De drie platforms zullen voortdurend de prijs verlagen om klanten van elkaar af te pakken.";;cause;"Drie grote platforms domineren muziekstreaming";reasoning;"Lichte productdifferentiatie + hoge toetredingsdrempels";reasoning;"Dit is een oligopolie met onderlinge afhankelijkheid";effect;"Concurrentie vooral op content en features, niet op prijs";effect;"Consument heeft beperkte keuze maar profiteert van innovatie";;
3;A;"Casus analyseren → Marktvorm classificeren → Consequenties afleiden";"In een klein dorp verkoopt boer Jan elke zaterdag groenten op de weekmarkt. Er zijn nog vijf andere groentekramen. Alle kramen verkopen vergelijkbare seizoensgroenten tegen ongeveer dezelfde prijs. Wat voor marktvorm is dit?";Analyseer de casus;"Er zijn zes aanbieders op een kleine markt die vergelijkbare (bijna homogene) producten verkopen. De prijzen zijn voor iedereen zichtbaar op de markt.";;Classificeer de marktvorm;"Een beperkt aantal aanbieders + bijna homogeen product + volledige prijstransparantie op een concrete markt. Dit lijkt op volkomen concurrentie op kleine schaal.";;Leid de consequenties af;"Geen enkele kraam kan significant afwijken van de marktprijs. Als boer Jan zijn prijs verhoogt, lopen klanten naar een andere kraam. Alle verkopers zijn prijsnemers.";;Bereken het marktaandeel per kraam;"Deel de omzet van boer Jan door de totale groenteomzet op de markt.";;Analyseer de productdifferentiatie;"Onderzoek of de groenten van boer Jan anders zijn dan die van de andere kramen.";;Voorspel het effect van een extra kraam;"Bepaal wat er gebeurt als een zevende groentekraam op de markt verschijnt.";;Hoeveel aanbieders zijn er en zijn de producten vergelijkbaar?;Past dit bij volkomen concurrentie of bij een andere marktvorm?;Wat gebeurt er als boer Jan zijn prijs verhoogt?;Hoeveel omzet maakt de weekmarkt per zaterdag?;Welke groenten verkoopt boer Jan?;1;"Analyseer als heterogeen aanbod";"Elke kraam heeft unieke groenten omdat ze van verschillende boerderijen komen, dus de producten zijn heterogeen.";;cause;"Zes groentekramen met vergelijkbare producten op weekmarkt";reasoning;"Bijna homogeen product + volledige prijstransparantie";reasoning;"Dit past bij volkomen concurrentie op kleine schaal";effect;"Geen enkele kraam kan afwijken van de marktprijs";effect;"Alle verkopers zijn prijsnemers";;
4;B;"Marktverandering signaleren → Effect op marktstructuur bepalen → Nieuw evenwicht voorspellen";"De overheid schaft het patent op een populair astmamedicijn af. Tot nu toe was er maar één producent. Wat verandert er op de markt?";Signaleer de marktverandering;"De wettelijke toetredingsdrempel (patent) verdwijnt. Andere farmaceutische bedrijven mogen nu generieke versies produceren.";;Bepaal het effect op de marktstructuur;"De markt verandert van een monopolie naar een markt met meerdere aanbieders. Afhankelijk van het aantal toetreders wordt het een oligopolie of monopolistische concurrentie.";;Voorspel het nieuwe evenwicht;"Generieke producenten treden toe, het aanbod stijgt en de prijs daalt fors. De oorspronkelijke producent verliest marktmacht en moet concurreren op prijs of merkbekendheid.";;Bereken de prijsdaling in procenten;"Vergelijk de oude monopolieprijs met de nieuwe concurrentieprijs.";;Analyseer de kwaliteitsverschillen;"Onderzoek of generieke medicijnen van dezelfde kwaliteit zijn.";;Bepaal het marktaandeel van de oorspronkelijke producent;"Bereken welk percentage van de markt de oorspronkelijke producent behoudt.";;Welke toetredingsdrempel verdwijnt er?;Hoe verandert de marktstructuur als het patent wegvalt?;Wat voorspel je voor de prijs van het medicijn?;Hoeveel astmapatiënten zijn er in Nederland?;Wat zijn de productiekosten van het medicijn?;2;"Effect: markt blijft monopolie";"Zelfs zonder patent blijft de oorspronkelijke producent monopolist omdat andere bedrijven niet weten hoe ze het medicijn moeten maken.";;cause;"Overheid schaft patent op astmamedicijn af";reasoning;"Wettelijke toetredingsdrempel verdwijnt";reasoning;"Generieke producenten kunnen nu toetreden";effect;"Aanbod stijgt en prijs daalt fors";effect;"Oorspronkelijke producent verliest marktmacht";;
5;B;"Marktverandering signaleren → Effect op marktstructuur bepalen → Nieuw evenwicht voorspellen";"De EU verbiedt de fusie tussen twee grote luchtvaartmaatschappijen. Als de fusie was doorgegaan, zouden ze samen 60% van de Europese vluchten verzorgen. Wat is het effect van het verbod?";Signaleer de marktverandering;"De EU voorkomt een sterke toename van marktconcentratie. Zonder fusie blijven er meer onafhankelijke aanbieders op de markt.";;Bepaal het effect op de marktstructuur;"De marktstructuur blijft een oligopolie met meerdere spelers in plaats van een dominante duopolie. De HHI blijft lager dan bij een fusie.";;Voorspel het nieuwe evenwicht;"Met meer onafhankelijke spelers blijft de concurrentie sterker. Consumenten profiteren van lagere ticketprijzen en meer keuze dan bij een fusie het geval zou zijn.";;Bereken de HHI met en zonder fusie;"Vergelijk de concentratie-index in beide scenario's.";;Analyseer de toetredingsdrempels voor nieuwe luchtvaartmaatschappijen;"Bepaal welke barrières nieuwe maatschappijen tegenkomen.";;Classificeer het product als homogeen of heterogeen;"Onderzoek of vluchten van verschillende maatschappijen substitueerbaar zijn.";;Welke marktverandering wordt voorkomen door het fusieverbod?;Hoe zou de marktstructuur veranderen als de fusie wél doorging?;Wat betekent het verbod voor de prijs die consumenten betalen?;Hoeveel passagiers vliegen er jaarlijks binnen Europa?;Wat is de gemiddelde ticketprijs voor een Europese vlucht?;3;"Voorspel: hogere prijzen door verbod";"Door het verbod kunnen de twee maatschappijen niet efficiënter werken, waardoor de prijzen juist stijgen.";;cause;"EU verbiedt fusie van twee grote luchtvaartmaatschappijen";reasoning;"Meer onafhankelijke aanbieders blijven op de markt";reasoning;"Marktstructuur blijft oligopolie in plaats van duopolie";effect;"Sterkere concurrentie dan bij fusie";effect;"Lagere ticketprijzen en meer keuze voor consumenten";;
6;B;"Marktverandering signaleren → Effect op marktstructuur bepalen → Nieuw evenwicht voorspellen";"Door de opkomst van webshops kunnen kleine kledingontwerpers nu wereldwijd verkopen zonder fysieke winkel. De toetredingsdrempels in de modemarkt dalen sterk. Wat gebeurt er?";Signaleer de marktverandering;"Webshops verlagen de toetredingsdrempels drastisch: geen huur, geen fysieke voorraad nodig. Kleine ontwerpers kunnen nu direct aan de eindconsument verkopen.";;Bepaal het effect op de marktstructuur;"Het aantal aanbieders neemt sterk toe. De markt verschuift van een oligopolie (gedomineerd door grote modehuizen) naar meer monopolistische concurrentie met veel kleine spelers.";;Voorspel het nieuwe evenwicht;"Meer concurrentie drukt de prijzen. Productdifferentiatie wordt belangrijker: ontwerpers moeten zich onderscheiden via uniek design, verhaal of duurzaamheid.";;Bereken het nieuwe marktaandeel van grote modehuizen;"Bepaal welk percentage van de markt nog naar de gevestigde merken gaat.";;Analyseer de rol van social media;"Onderzoek hoe Instagram en TikTok de verkoop van kleine ontwerpers beïnvloeden.";;Voorspel de winstmarge van webshops;"Bereken hoeveel winst een kleine webshop per verkocht kledingstuk maakt.";;Welke toetredingsdrempels verdwijnen door webshops?;Hoe verandert het aantal aanbieders en de marktstructuur?;Waarop moeten ontwerpers zich onderscheiden in het nieuwe evenwicht?;Hoeveel webshops voor kleding zijn er in Nederland?;Wat is de gemiddelde besteding per online aankoop?;1;"Signaleer: toetredingsdrempels stijgen";"Webshops vereisen veel technische kennis en hoge investeringen in logistiek, waardoor de drempels juist stijgen.";;cause;"Webshops verlagen toetredingsdrempels in de modemarkt";reasoning;"Kleine ontwerpers kunnen nu wereldwijd verkopen";reasoning;"Meer aanbieders: verschuiving naar monopolistische concurrentie";effect;"Meer concurrentie drukt de prijzen";effect;"Productdifferentiatie wordt de sleutel tot overleven";;
7;C;"Marktgegevens interpreteren → Marktvorm herkennen → Beleidsconclusie trekken";"De ACM (mededingingsautoriteit) onderzoekt de markt voor mobiele betalingsapps. Drie apps hebben samen 95% marktaandeel. De HHI is 3800. Wat concludeert de ACM?";Interpreteer de marktgegevens;"Drie apps hebben 95% marktaandeel en de HHI is 3800 (ver boven 2500). Dit wijst op een zeer sterk geconcentreerde markt.";;Herken de marktvorm;"Drie dominante spelers + extreem hoge HHI + hoge toetredingsdrempels (technologie, netwerk-effecten) = een strak oligopolie met risico op marktmisbruik.";;Trek een beleidsconclusie;"De ACM kan ingrijpen: fusies blokkeren, gedragsregels opleggen of toetredingsdrempels verlagen. De hoge concentratie rechtvaardigt verscherpt toezicht om consumenten te beschermen.";;Bereken de exacte marktaandelen per app;"Bepaal het precieze percentage van elke app op basis van gebruikersaantallen.";;Analyseer de gebruikerstevredenheid;"Onderzoek hoe tevreden consumenten zijn met de drie apps.";;Vergelijk met de Amerikaanse markt;"Bepaal of de concentratie in Nederland hoger is dan in de VS.";;Wat zeggen de marktaandelen en HHI over de concentratie?;Welke marktvorm past bij drie dominante spelers met hoge drempels?;Welk beleid kan de ACM voeren op basis van deze gegevens?;Hoeveel transacties worden er dagelijks via deze apps gedaan?;Wat is de omzet van de grootste app?;2;"Herken als monopolistische concurrentie";"Drie apps is genoeg keuze voor consumenten, dus dit is monopolistische concurrentie en de ACM hoeft niet in te grijpen.";;cause;"Drie apps met samen 95% marktaandeel, HHI van 3800";reasoning;"Extreem geconcentreerde markt met hoge toetredingsdrempels";reasoning;"Dit is een strak oligopolie met risico op marktmisbruik";effect;"De ACM heeft gronden voor verscherpt toezicht";effect;"Mogelijke maatregelen: fusies blokkeren of toetredingsdrempels verlagen";;
8;C;"Marktgegevens interpreteren → Marktvorm herkennen → Beleidsconclusie trekken";"Een gemeente onderzoekt de lokale horecamarkt. Er zijn 85 restaurants, de grootste heeft 4% marktaandeel. De HHI is 180. De gemeente overweegt steunmaatregelen. Wat concludeer je?";Interpreteer de marktgegevens;"85 restaurants met een maximum marktaandeel van 4% en een HHI van 180 (ver onder 1000). De markt is zeer versnipperd en concurrerend.";;Herken de marktvorm;"Veel aanbieders + lage concentratie + heterogene diensten + vrije toetreding = monopolistische concurrentie. Er is gezonde concurrentie.";;Trek een beleidsconclusie;"Steunmaatregelen zijn vanuit mededingingsoogpunt niet nodig: de markt functioneert goed met veel concurrentie. Steun kan zelfs schadelijk zijn als het de vrije concurrentie verstoort.";;Bereken het exacte marktaandeel van elk restaurant;"Deel de omzet van elk restaurant door de totale horecaomzet.";;Analyseer de klanttevredenheid;"Onderzoek hoe tevreden gasten zijn met het aanbod.";;Vergelijk de HHI met andere gemeenten;"Bepaal of de concentratie in deze gemeente hoger of lager is dan elders.";;Wat zeggen 85 restaurants en een HHI van 180 over de markt?;Welke marktvorm past bij veel aanbieders met lage concentratie?;Is overheidssteun nodig bij een goed functionerende markt?;Hoeveel omzet draait de horeca in deze gemeente?;Wat is de gemiddelde besteding per restaurantbezoek?;3;"Concludeer: steunmaatregelen nodig";"Met 85 restaurants is er te veel concurrentie en dreigen restaurants failliet te gaan. De gemeente moet ingrijpen om de markt te beschermen.";;cause;"85 restaurants, grootste heeft 4%, HHI is 180";reasoning;"Zeer versnipperde markt met gezonde concurrentie";reasoning;"Dit is monopolistische concurrentie met goed functionerende markt";effect;"Steunmaatregelen zijn niet nodig vanuit mededingingsoogpunt";effect;"Overheidssteun kan de vrije concurrentie zelfs verstoren";;
9;C;"Marktgegevens interpreteren → Marktvorm herkennen → Beleidsconclusie trekken";"De NZa (zorgautoriteit) constateert dat in een regio één ziekenhuis 100% van de spoedeisende hulp verzorgt. De dichtstbijzijnde alternatieve SEH is 45 minuten rijden. Wat concludeert de NZa?";Interpreteer de marktgegevens;"Eén aanbieder heeft 100% marktaandeel voor spoedeisende hulp in de regio. De HHI is 10.000 (maximum). Er is geen reëel alternatief.";;Herken de marktvorm;"Eén aanbieder + geen substituten + natuurlijke barrière (afstand) = een regionaal monopolie. De afstand maakt concurrentie fysiek onmogelijk.";;Trek een beleidsconclusie;"De NZa moet prijzen en kwaliteit reguleren. Het ziekenhuis kan niet failliet gaan (maatschappelijk belang) maar mag ook geen misbruik maken van zijn monopoliepositie.";;Bereken de reistijd naar alternatieven;"Bepaal precies hoe lang patiënten moeten reizen naar de dichtstbijzijnde SEH.";;Analyseer de kwaliteit van de zorg;"Onderzoek of de kwaliteit van de SEH voldoet aan de normen.";;Vergelijk met andere regio's;"Bepaal of andere regio's ook een monopolie op spoedeisende hulp hebben.";;Wat zegt 100% marktaandeel over de marktstructuur?;Waarom is dit een regionaal monopolie?;Welk beleid is gepast bij een monopolie in de zorg?;Hoeveel patiënten bezoeken de SEH per jaar?;Wat zijn de kosten per SEH-bezoek?;1;"Interpreteer: geen monopolie";"Er zijn altijd alternatieven zoals huisartsenposten en andere ziekenhuizen, dus het marktaandeel is niet echt 100%.";;cause;"Eén ziekenhuis verzorgt 100% van de SEH in de regio";reasoning;"Dichtstbijzijnde alternatief is 45 minuten weg";reasoning;"Dit is een regionaal monopolie door geografische barrière";effect;"De NZa moet prijzen en kwaliteit reguleren";effect;"Bescherming tegen misbruik monopoliepositie noodzakelijk";;
10;D;"Concreet voorbeeld toepassen → Meerdere concepten combineren → Gefundeerd oordeel vormen";"Albert Heijn introduceert een huismerk-energiedrank die sterk lijkt op Red Bull maar 40% goedkoper is. Red Bull klaagt dat dit hun merk schaadt. Analyseer deze situatie vanuit marktstructuur.";Pas het voorbeeld toe;"AH brengt een substituut op de markt. Dit verhoogt de concurrentie in het segment energiedranken. Het product is heterogeen (verschil in merk) maar functioneel vergelijkbaar.";;Combineer meerdere concepten;"Dit raakt aan: marktafbakening (behoren ze tot dezelfde markt?), productdifferentiatie (merk vs. huismerk), en toetredingsdrempels (AH heeft als retailer een lage drempel om toe te treden als producent).";;Vorm een gefundeerd oordeel;"De energiedrankmarkt wordt concurrerender. Red Bull verliest marktaandeel maar behoudt merkwaarde. De consument profiteert van lagere prijzen. Dit is een gezonde marktwerking.";;Bereken het nieuwe marktaandeel van Red Bull;"Bepaal welk percentage Red Bull verliest aan het AH-huismerk.";;Analyseer de juridische positie van Red Bull;"Onderzoek of Red Bull juridisch gelijk heeft met zijn klacht.";;Voorspel de reactie van andere merken;"Bepaal of Jumbo en Lidl ook huismerk-energiedranken gaan introduceren.";;Hoe verandert de concurrentie door dit huismerk?;Welke economische concepten spelen hier een rol?;Is dit goed of slecht voor de marktwerking?;Hoeveel energiedranken verkoopt Albert Heijn per week?;Wat is de winstmarge op het AH-huismerk?;2;"Combineer: aparte markten";"Red Bull is een premium merk en het AH-huismerk is een budgetproduct. Ze zitten op verschillende markten en concurreren dus niet met elkaar.";;cause;"AH introduceert goedkoop alternatief voor Red Bull";reasoning;"Functioneel vergelijkbaar product op dezelfde markt";reasoning;"Raakt aan marktafbakening, productdifferentiatie en toetredingsdrempels";effect;"Energiedrankmarkt wordt concurrerender";effect;"Consument profiteert van lagere prijzen: gezonde marktwerking";;
